accuracy,precision,recall,f1,test_loss,model,sequence_length,embedding_size,epochs,learning_rate,padding,dataset
0.6824448529411765,0.46573097730590396,0.6824448529411765,0.553635950077928,0.6090248837409651,LSTM_Single_Cell,50,100,1,0.001,pre,DisasterTweets
0.6838235294117647,0.6784239076341196,0.6838235294117647,0.5593229219398603,0.6166391125058427,LSTM_POS_Penn,50,100,1,0.001,pre,DisasterTweets
0.6824448529411765,0.46573097730590396,0.6824448529411765,0.553635950077928,0.6159309927812394,LSTM_POS_Universal,50,100,1,0.001,pre,DisasterTweets
0.7440257352941176,0.7313052184272306,0.7440257352941176,0.7219809949224493,0.5653630726258544,LSTM_Layer,200,50,1,0.001,pre,DisasterTweets
0.6824448529411765,0.46573097730590396,0.6824448529411765,0.553635950077928,0.6072983700124657,LSTM_Single_Cell,200,50,1,0.001,pre,DisasterTweets
0.6824448529411765,0.46573097730590396,0.6824448529411765,0.553635950077928,0.6224601387101061,LSTM_POS_Penn,200,50,1,0.001,pre,DisasterTweets
0.6810661764705882,0.6124563224402325,0.6810661764705882,0.5658249157938807,0.6162207552834469,LSTM_POS_Universal,200,50,1,0.001,pre,DisasterTweets
0.6824448529411765,0.46573097730590396,0.6824448529411765,0.553635950077928,0.6299208411399055,LSTM_Layer,200,100,1,0.001,pre,DisasterTweets
0.6829044117647058,0.7835002535496959,0.6829044117647058,0.5547050061733212,0.6079796411316184,LSTM_Single_Cell,200,100,1,0.001,pre,DisasterTweets
0.6746323529411765,0.5718411188004613,0.6746323529411765,0.5631535273650569,0.6191120270420524,LSTM_POS_Penn,200,100,1,0.001,pre,DisasterTweets
0.6819852941176471,0.4656313387423935,0.6819852941176471,0.5534142960462873,0.612279752817224,LSTM_POS_Universal,200,100,1,0.001,pre,DisasterTweets
